Effect ID,Name (VN),Name (EN),Category,Is Removable,Removal Condition,Duration Type,Default Duration,Stat Affected,Modifier Type,Modifier Value,Can Stack,Max Stacks,Trigger,Source Type,Source Examples,Visual Cue,Balance Notes,Description (VN),Icon Key
eff_summon_enhance,Tăng Cường Triệu Hồi,Summon Enhance,buff,No,unequip,while_equipped,while_equipped,stats,percent,+,No,1,on_summon,,,,,Tăng chỉ số của summon (Necromancer).,
eff_taunt_heal,Khiêu Chiến + Hồi,Taunt Heal,buff,No,unequip,while_equipped,while_equipped,hp,flat_per_turn,+,No,1,on_taunt_active,,,,,Hồi HP/lượt khi đang Taunt.,
eff_totem_extend,Kéo Dài Totem,Totem Extend,buff,No,unequip,while_equipped,while_equipped,buff,flat,+turns,No,1,on_totem_place,,,,,Totem Shaman kéo dài thêm lượt.,
eff_perm_def,Phòng Thủ Vĩnh Viễn,Permanent Defense,permanent_buff,No,rare_cleanse,permanent,inf,dmg_received,percent,-,No,1,on_apply,,Hellfire Armor (item_cu06),,Permanent DEF buff for cursed armor relics,Tăng DEF vĩnh viễn (giảm sát thương nhận vào).,
eff_perm_spd,Tốc Độ Vĩnh Viễn,Permanent Speed,permanent_buff,No,rare_cleanse,permanent,inf,speed,flat,+,No,1,on_apply,,Shattered Mirror (item_cu07),,Permanent speed buff (counterpart of eff_perm_spd_down),Tăng tốc độ vĩnh viễn.,
eff_armor_pierce,Xuyên Giáp,Armor Pierce,buff,Yes,,instant,instant,dmg_received,flag,ignore_armor,No,1,on_hit,skill_effect,,,,Đòn đánh bỏ qua hoàn toàn giáp/DEF của địch.,
eff_auto_crit,Crit Tự Động,Auto Crit,buff,Yes,,conditional,next_hit,crit,flag,guaranteed,No,1,on_attack,skill_effect,,,,Đòn đánh tiếp theo đảm bảo crit.,
eff_block_movement,Chặn Di Chuyển,Block Movement,control,Yes,,turns,2,movement,flag,block_with_dmg,No,1,on_zone_place,skill_effect,,,,Tạo vùng chặn: địch di chuyển/đổi vị trí qua đó nhận sát thương.,
eff_burn_reflect,Phản Lửa,Burn Reflect,buff,Yes,,turns,3,reflect,percent,apply_burn,No,1,on_hit_taken,skill_effect,,,,"Khi bị tấn công vật lý, áp burn lên kẻ tấn công.",
eff_bypass_position,Bỏ Qua Vị Trí,Bypass Position,buff,Yes,,instant,instant,targeting,flag,ignore_position,No,1,on_attack,skill_effect,,,,"Đòn đánh có thể nhắm hàng sau, bỏ qua hàng trước.",
eff_conditional_dmg,Sát Thương Có Điều Kiện,Conditional Damage,buff,Yes,,instant,instant,dmg,percent,condition,No,1,on_hit,skill_effect,,,,"Sát thương tăng nếu mục tiêu thỏa điều kiện (vd: stunned, immobilized).",
eff_consume_summon,Kích Nổ Summon,Consume Summon,control,Yes,,instant,instant,skills,flag,consume_summon,No,1,on_use,skill_effect,,,,Hủy 1 summon đang active để gây AoE từ vị trí của nó.,
eff_consume_totem,Kích Nổ Totem,Consume Totem,control,Yes,,instant,instant,skills,flag,consume_totem,No,1,on_use,skill_effect,,,,Hủy totem đang active để gây hiệu ứng mạnh hơn.,
eff_curse_bonus,Bonus vs Cursed,Curse Bonus,buff,Yes,,instant,instant,dmg,percent,+,No,1,on_hit_vs_cursed,skill_effect,,,,Sát thương tăng nếu mục tiêu đang bị nguyền rủa hoặc có permanent debuff.,
eff_detonate_burn,Kích Nổ Burn,Detonate Burn,control,Yes,,instant,instant,dmg,multiplier,burn_stacks,No,1,on_use,skill_effect,,,,"Kích nổ tất cả chồng burn trên mục tiêu, mỗi chồng gây dmg x3.",
eff_drain_party_stress,Hút Stress Đội,Drain Party Stress,utility,Yes,,instant,instant,stress,flat,transfer_to_hp,No,1,on_use,skill_effect,,,,"Hút stress từ mỗi đồng đội, chuyển thành HP cho người dùng.",
eff_enemy_stress,Stress Địch,Enemy Stress,control,Yes,,instant,instant,stress,flat,+,No,1,on_hit,skill_effect,,,,Gây stress lên 1 hoặc nhiều địch.,
eff_first_strike,Ra Đòn Đầu Tiên,First Strike,buff,Yes,,turns,1,speed,flag,act_first,No,1,on_use,skill_effect,,,,Đảm bảo hành động trước tất cả địch trong lượt này.,
eff_form_condition,Điều Kiện Hình Dạng,Form Condition,buff,Yes,,instant,instant,skills,flag,form_required,No,1,on_attempt_use,skill_effect,,,,Skill chỉ dùng được khi đang ở 1 hình dạng cụ thể (Bear/Hawk).,
eff_form_heal,Hồi Máu Theo Form,Form-based Heal,heal,Yes,,instant,instant,hp,flat,+,No,1,on_use,skill_effect,,,,"Hồi máu, lượng tùy thuộc vào hình dạng đang sử dụng.",
eff_hp_cost,Tốn HP,HP Cost,utility,Yes,,instant,instant,hp,flat,-,No,1,on_use,skill_effect,,,,Tốn HP để dùng skill (hạ HP người dùng xuống mức cụ thể).,
eff_hp_cost_buff,Buff Trả Bằng HP,HP Cost Buff,buff,Yes,,turns,1,dmg,percent,+,No,1,on_use,skill_effect,,,,Hy sinh HP để buff dmg cho skill tiếp theo.,
eff_hp_threshold_buff,Buff Theo Ngưỡng HP,HP Threshold Buff,buff,Yes,,while_threshold,while_below_threshold,stats,percent,+,No,1,on_turn_start,skill_effect,,,,Tự động kích hoạt buff khi HP dưới ngưỡng (vd <30%).,
eff_instant_kill,Giết Tức Khắc,Instant Kill,control,Yes,,instant,instant,hp,flag,execute,No,1,on_hit,skill_effect,,,,Giết ngay lập tức nếu mục tiêu HP < ngưỡng (vd 20%).,
eff_invincible_store,Bất Tử + Lưu Dmg,Invincible + Store,buff,Yes,,turns,1,dmg_received,flag,store_then_x2,No,1,on_use,skill_effect,,,,"Bất tử 1 lượt, tích lũy dmg nhận; đòn tiếp theo gây dmg đã lưu x2.",
eff_kill_bonus,Bonus Sau Khi Giết,Kill Bonus,buff,Yes,,turns,3,action,flat,+1_action_on_kill,No,1,on_kill,skill_effect,,,,"Mỗi khi tiêu diệt địch trong thời gian buff, nhận thêm 1 hành động.",
eff_multi_hit,Đa Đòn,Multi-Hit,buff,Yes,,instant,instant,dmg,multiplier,multi_attack,No,1,on_use,skill_effect,,,,Skill thực hiện nhiều đòn đánh liên tiếp (2-3 hits với dmg multiplier nhỏ).,
eff_perm_buff_generic,Buff Vĩnh Viễn (chung),Permanent Buff (Generic),permanent_buff,No,Paladin: Tẩy Trần,permanent,inf,various,compound,+,No,1,on_apply,skill_effect,,,,Buff vĩnh viễn không thể tháo (giá trị/loại trong notes).,
eff_perm_debuff_generic,Debuff Vĩnh Viễn (chung),Permanent Debuff (Generic),permanent_debuff,No,Paladin: Tẩy Trần,permanent,inf,various,compound,-,No,1,on_apply,skill_effect,,,,Debuff vĩnh viễn không thể tháo (giá trị/loại trong notes).,icon_affliction
eff_random_aoe,AoE Ngẫu Nhiên,Random AoE,damage,Yes,,instant,instant,dmg,multiplier,+random_target,No,1,on_use,skill_effect,,,,Tấn công nhiều mục tiêu ngẫu nhiên; có thể trúng đồng đội với xác suất nhỏ.,
eff_remove_permanent,Xóa Vĩnh Viễn,Remove Permanent Debuff,utility,Yes,,instant,instant,various,flag,cleanse_permanent,No,1,on_use,skill_effect,,,,Xóa 1 permanent debuff/curse khỏi mục tiêu (rất hiếm — chỉ Paladin).,
eff_revive,Hồi Sinh,Revive,heal,Yes,,instant,instant,hp,percent,revive,No,1,on_death,skill_effect,,,,Hồi sinh đồng đội đã ngã hoặc chính mình với % HP nhất định.,
eff_self_dmg,Tự Gây Sát Thương,Self Damage,utility,Yes,,instant,instant,hp,flat,-,No,1,on_use,skill_effect,,,,Người dùng tự nhận sát thương như chi phí kích hoạt skill.,
eff_self_move,Tự Di Chuyển,Self Move,utility,Yes,,instant,instant,position,flag,reposition,No,1,on_use,skill_effect,,,,Người dùng tự thay đổi vị trí (forward/backward).,
eff_self_stress,Tự Tăng Stress,Self Stress,utility,Yes,,instant,instant,stress,flat,+,No,1,on_use,skill_effect,,,,Người dùng tự nhận stress khi dùng skill mạnh.,
eff_spirit_aoe,AoE Linh Hồn,Spirit AoE,damage,Yes,,instant,instant,dmg,flag,ignore_stress_resist,No,1,on_use,skill_effect,,,,"AoE damage và stress, bỏ qua stress resist.",
eff_stacks_on_hit,Cộng Dồn Mỗi Đòn,Stacks on Hit,buff,Yes,,turns,1,dmg,percent,+per_hit,Yes,5,on_hit,skill_effect,,,,Mỗi đòn trúng cộng dồn 1 stack tăng dmg cho đòn tiếp theo.,
eff_stat_buff,Buff Tổng Hợp,Generic Stat Buff,buff,Yes,,turns,2,stats,percent,+,No,1,on_use,skill_effect,,,,"Tăng đồng thời nhiều chỉ số (HP regen, dmg, speed, stress resist…).",
eff_stress_reset,Reset Stress,Stress Reset,utility,Yes,,instant,instant,stress,flat,set_to_0,No,1,on_use,skill_effect,,,,Đặt stress về 0 và hồi % HP cho người dùng.,icon_meditate
eff_summon,Triệu Hồi,Summon,utility,Yes,,turns,until_killed,skills,flag,spawn_ally,No,2,on_use,skill_effect,,,,Triệu hồi 1 hoặc nhiều summon (skeleton/wolf spirit/totem).,
eff_timed_buff,Buff Có Thời Hạn,Timed Buff,buff,Yes,,turns,2,stats,percent,+_then_-,No,1,on_use,skill_effect,,,,"Buff mạnh trong N lượt, sau đó bị debuff nhẹ trong N lượt tiếp theo.",
